
order_id,order_date,supplier_id,supplier_name,country,material,price_unit,price_per_unit,quantity,total_price,delivery_time_days,on_time_delivery_rate,defect_pct
ORD000001,2023-10-15,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11503.09,250,2875772.83,10,0.933,0.1332
ORD000002,2024-11-29,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11216.69,131,1469386.86,39,0.913,0.0127
ORD000003,2024-08-07,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11135.84,708,7884172.52,46,0.95,0.0861
ORD000004,2025-01-23,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11092.76,293,3250179.71,24,0.912,0.0183
ORD000005,2023-07-22,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11071.8,772,8547432.32,41,0.801,0.0827
ORD000006,2025-07-23,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10868.79,575,6249556.59,37,0.876,0.1003
ORD000007,2023-01-30,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10822.29,518,5605948.74,38,0.895,0.0183
ORD000008,2024-06-28,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10851.37,390,4232032.39,49,0.954,0.0861
ORD000009,2023-04-13,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,11005.13,754,8297868.56,7,0.958,0.0778
ORD000010,2024-03-03,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10942.53,772,8447632.24,26,0.836,0.0482
ORD000011,2025-04-28,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10892.03,245,2668547.45,49,0.847,0.1375
ORD000012,2025-07-10,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10880.21,322,3503429.18,27,0.863,0.0071
ORD000013,2023-08-31,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10848.81,435,4719232.2,41,0.979,0.0065
ORD000014,2023-10-30,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10853.49,575,6240755.97,33,0.801,0.0727
ORD000015,2025-09-18,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10735.35,451,4841641.76,25,0.993,0.0513
ORD000016,2025-03-12,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10646.44,621,6611440.23,24,0.943,0.0616
ORD000017,2023-07-11,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10658.71,550,5862291.06,43,0.805,0.04
ORD000018,2024-05-18,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10563.98,235,2482535.95,14,0.821,0.0349
ORD000019,2023-10-29,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10355.33,670,6938072.6,21,0.801,0.0549
ORD000020,2024-06-19,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10404.61,272,2830054.78,18,0.926,0.0039
ORD000021,2025-06-09,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10463.28,638,6675573.04,48,0.886,0.1309
ORD000022,2023-12-24,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10428.7,509,5308207.36,37,0.802,0.0127
ORD000023,2023-08-15,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10380.04,678,7037664.71,29,0.914,0.0338
ORD000024,2024-07-27,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10189.33,702,7152907.31,23,0.891,0.1399
ORD000025,2024-08-12,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,10201.18,626,6385940.02,27,0.801,0.0721
ORD000026,2025-07-19,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9941.2,246,2445534.93,43,0.805,0.138
ORD000027,2024-11-13,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9973.78,663,6612614.5,41,0.867,0.0524
ORD000028,2024-01-27,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9871.55,765,7551737.26,15,0.988,0.1362
ORD000029,2023-12-16,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9665.06,663,6407933.26,14,0.867,0.0491
ORD000030,2025-06-03,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9748.9,671,6541509.44,48,0.885,0.0368
ORD000031,2023-04-28,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9629.99,411,3957927.62,9,0.921,0.0546
ORD000032,2024-07-20,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9717.02,297,2885955.23,14,0.856,0.1113
ORD000033,2024-07-15,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9795.37,98,959945.87,36,0.982,0.0871
ORD000034,2023-08-22,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9917.62,644,6386945.77,14,0.964,0.0697
ORD000035,2025-02-21,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9806.6,267,2618362.45,47,0.932,0.1159
ORD000036,2024-11-21,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9785.25,212,2074473.69,41,0.935,0.0009
ORD000037,2023-03-29,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9855.76,467,4602640.0,27,0.854,0.0541
ORD000038,2023-07-31,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9644.38,421,4060284.9,43,0.891,0.042
ORD000039,2025-07-24,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9733.25,446,4341031.46,6,0.941,0.0726
ORD000040,2024-03-21,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9793.72,469,4593254.05,32,0.874,0.0918
ORD000041,2023-07-26,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9728.79,290,2821347.72,43,0.902,0.0445
ORD000042,2025-08-11,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9645.52,698,6732570.37,48,0.997,0.0613
ORD000043,2024-10-19,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9419.64,382,3598302.71,8,0.853,0.0407
ORD000044,2024-02-04,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9458.23,336,3177965.01,24,0.885,0.0558
ORD000045,2025-05-20,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9486.35,143,1356547.95,9,0.819,0.1256
ORD000046,2024-02-16,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9554.27,533,5092428.09,16,0.803,0.0036
ORD000047,2024-12-12,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9545.05,659,6290187.49,21,0.909,0.1288
ORD000048,2024-10-16,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9656.09,356,3437567.7,11,0.833,0.0919
ORD000049,2023-08-28,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9509.94,765,7275107.01,17,1.0,0.0061
ORD000050,2024-10-09,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9476.18,470,4453806.74,34,0.947,0.1017
ORD000051,2023-02-22,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9411.8,138,1298827.99,17,0.962,0.0197
ORD000052,2024-09-06,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9388.42,654,6140026.47,38,0.843,0.0588
ORD000053,2025-05-04,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9000.0,473,4257000.0,18,0.983,0.0776
ORD000054,2025-03-17,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9000.0,244,2196000.0,31,0.888,0.1399
ORD000055,2024-02-03,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9352.86,410,3834671.93,23,0.998,0.0148
ORD000056,2023-08-10,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9222.34,412,3799604.37,17,0.956,0.0784
ORD000057,2023-02-04,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9228.33,533,4918698.05,7,0.932,0.0568
ORD000058,2023-05-17,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9478.73,593,5620889.2,35,0.85,0.0787
ORD000059,2024-06-23,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9346.33,773,7224709.85,40,0.926,0.0057
ORD000060,2024-07-02,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9376.79,717,6723157.43,12,0.902,0.1135
ORD000061,2023-04-21,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9313.67,580,5401929.85,29,0.877,0.0373
ORD000062,2024-10-11,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9472.87,515,4878530.55,28,0.807,0.0215
ORD000063,2025-03-08,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9037.87,419,3786866.47,19,0.857,0.1449
ORD000064,2024-03-10,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9085.5,664,6032773.66,43,0.97,0.1434
ORD000065,2024-12-01,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9178.93,663,6085630.81,32,0.943,0.1074
ORD000066,2023-02-11,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9397.85,516,4849289.55,15,0.893,0.0652
ORD000067,2024-02-08,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9408.56,289,2719073.32,25,0.933,0.0824
ORD000068,2023-01-28,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9395.16,710,6670561.43,33,0.891,0.0334
ORD000069,2024-01-13,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9440.41,356,3360787.62,13,0.895,0.1451
ORD000070,2023-02-01,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9370.39,338,3167192.44,47,0.982,0.0243
ORD000071,2025-09-11,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9409.27,825,7762649.93,46,0.976,0.0587
ORD000072,2024-10-20,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9206.49,730,6720740.1,13,0.893,0.0395
ORD000073,2023-12-23,SUP001,Elite Corporation,Canada,Lithium,USD_per_ton,9198.71,621,5712400.18,35,0.867,0.1494
ORD000074,2023-06-09,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,9163.56,256,2345870.55,9,0.978,0.0656
ORD000075,2025-01-24,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,9002.02,453,4077914.32,24,0.984,0.1498
ORD000076,2024-08-25,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,9092.92,571,5192054.93,46,0.88,0.0417
ORD000077,2024-12-19,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,9086.05,944,8577230.19,42,0.976,0.1061
ORD000078,2023-10-11,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,8985.71,921,8275835.24,49,0.945,0.1285
ORD000079,2024-04-07,SUP002,Aurora Corporation,Germany,Copper,USD_per_ton,8956.97,420,3761928.44,40,0.958,0.0854
